Algoritmo;Parametro;Valor;Semilla;Makespan;Upper_Bound;RPD_%;Tiempo_Seg
AG;tam_pobla;20;1;3134;3025;3.60;0.4240
AG;tam_pobla;20;2;3134;3025;3.60;0.4266
AG;tam_pobla;20;3;3135;3025;3.64;0.4261
AG;tam_pobla;20;4;3134;3025;3.60;0.4257
AG;tam_pobla;20;5;3134;3025;3.60;0.4357
AG;tam_pobla;40;1;3082;3025;1.88;0.8663
AG;tam_pobla;40;2;3113;3025;2.91;0.8694
AG;tam_pobla;40;3;3113;3025;2.91;0.8857
AG;tam_pobla;40;4;3128;3025;3.40;0.8535
AG;tam_pobla;40;5;3128;3025;3.40;0.8687
AG;tam_pobla;60;1;3128;3025;3.40;1.2910
AG;tam_pobla;60;2;3120;3025;3.14;1.2968
AG;tam_pobla;60;3;3126;3025;3.34;1.2962
AG;tam_pobla;60;4;3126;3025;3.34;1.3038
AG;tam_pobla;60;5;3105;3025;2.64;1.2823
AG;tam_pobla;100;1;3096;3025;2.35;2.1470
AG;tam_pobla;100;2;3096;3025;2.35;2.1400
AG;tam_pobla;100;3;3128;3025;3.40;2.1390
AG;tam_pobla;100;4;3104;3025;2.61;2.2385
AG;tam_pobla;100;5;3105;3025;2.64;2.1338
AG;prob_c;0.6;1;3105;3025;2.64;1.2440
AG;prob_c;0.6;2;3127;3025;3.37;1.3325
AG;prob_c;0.6;3;3119;3025;3.11;1.2570
AG;prob_c;0.6;4;3114;3025;2.94;1.2502
AG;prob_c;0.6;5;3106;3025;2.68;1.2524
AG;prob_c;0.75;1;3128;3025;3.40;1.3201
AG;prob_c;0.75;2;3105;3025;2.64;1.2969
AG;prob_c;0.75;3;3082;3025;1.88;1.2819
AG;prob_c;0.75;4;3128;3025;3.40;1.2668
AG;prob_c;0.75;5;3105;3025;2.64;1.2771
AG;prob_c;0.85;1;3128;3025;3.40;1.2910
AG;prob_c;0.85;2;3120;3025;3.14;1.2968
AG;prob_c;0.85;3;3126;3025;3.34;1.2962
AG;prob_c;0.85;4;3126;3025;3.34;1.3038
