Algoritmo;Tamano_Problema;Instancia;Semilla;Poblacion;Prob_Cruce;Prob_Mutacion;Iteraciones;Makespan;Upper_Bound;RPD_%;Tiempo_Seg;Generacion_Hallazgo;Mejor_Secuencia
AG;50x5;data/ins_50_5_00.txt;1;60;0.85;0.2;300;2729;2724;0.18;0.5699;14;9-49-35-38-45-16-40-11-17-5-25-48-12-4-43-42-3-7-31-1-30-23-39-37-20-24-33-27-26-44-15-41-21-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;2;60;0.85;0.2;300;2729;2724;0.18;0.5555;32;40-35-23-49-38-37-39-45-9-30-16-11-17-5-25-31-48-12-7-4-43-21-42-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;3;60;0.85;0.2;300;2729;2724;0.18;0.5682;68;40-9-35-49-38-37-45-16-30-11-5-25-31-48-7-4-43-20-24-46-0-17-21-42-3-1-33-41-23-26-44-15-27-28-8-13-14-12-39-10-32-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;4;60;0.85;0.2;300;2729;2724;0.18;0.5546;66;25-35-23-49-38-37-39-30-40-11-17-5-9-45-12-31-48-7-4-43-16-21-42-3-1-32-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;5;60;0.85;0.2;300;2724;2724;0.00;0.5734;3;30-16-49-39-37-40-38-23-9-2-45-11-17-5-25-31-48-12-7-4-43-21-42-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-35
AG;50x5;data/ins_50_5_00.txt;6;60;0.85;0.2;300;2729;2724;0.18;0.5641;8;9-25-23-49-38-37-39-45-16-30-40-11-17-5-31-48-12-7-4-43-21-35-42-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;7;60;0.85;0.2;300;2724;2724;0.00;0.5651;41;30-2-23-49-38-39-45-16-9-40-11-5-25-31-12-37-17-7-4-43-21-41-42-3-1-24-33-20-13-26-44-15-27-28-8-14-46-0-10-32-6-48-29-19-47-22-34-18-36-35
AG;50x5;data/ins_50_5_00.txt;8;60;0.85;0.2;300;2729;2724;0.18;0.5659;4;40-35-39-49-16-30-9-45-17-37-23-11-38-5-25-31-48-12-7-4-43-21-42-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;9;60;0.85;0.2;300;2729;2724;0.18;0.5678;18;25-35-23-49-38-37-45-16-30-40-11-17-41-5-9-7-4-43-21-42-3-1-33-20-24-26-31-44-15-27-28-0-8-13-14-46-10-32-29-39-6-12-48-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;10;60;0.85;0.2;300;2729;2724;0.18;0.5534;26;30-9-35-23-49-38-37-39-45-40-11-17-5-25-31-48-7-4-43-21-42-3-1-33-12-41-28-20-14-24-26-44-15-27-8-13-46-0-10-32-6-29-19-47-22-34-16-18-36-2
AG;50x5;data/ins_50_5_00.txt;11;60;0.85;0.2;300;2729;2724;0.18;0.5581;19;9-30-35-23-49-38-37-45-16-40-11-17-5-25-31-48-12-7-4-43-21-39-42-3-1-33-41-24-26-44-15-27-28-8-13-46-10-32-14-0-20-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;12;60;0.85;0.2;300;2729;2724;0.18;0.5630;19;9-25-35-23-49-38-37-39-30-45-16-11-17-5-31-48-12-7-4-21-43-42-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-40-0-10-32-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;13;60;0.85;0.2;300;2729;2724;0.18;0.5759;26;16-9-35-23-49-38-37-45-30-40-17-5-25-31-48-12-7-11-39-44-43-21-42-3-1-33-41-20-26-4-15-27-28-24-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;14;60;0.85;0.2;300;2724;2724;0.00;0.5797;156;30-40-9-2-49-16-38-39-23-45-26-17-5-31-3-48-12-7-4-43-21-25-42-1-33-41-20-24-11-44-15-14-27-28-8-13-37-46-0-10-6-29-19-47-32-22-34-18-36-35
AG;50x5;data/ins_50_5_00.txt;15;60;0.85;0.2;300;2729;2724;0.18;0.5576;17;40-49-38-16-39-30-23-11-17-5-25-48-12-31-37-9-35-7-4-43-3-21-42-1-45-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;16;60;0.85;0.2;300;2724;2724;0.00;0.5563;125;30-39-45-16-40-5-25-21-38-43-31-49-48-12-7-23-42-3-1-37-33-20-41-4-24-26-27-44-17-9-15-28-8-13-14-46-0-10-32-6-29-19-47-2-22-11-34-18-36-35
AG;50x5;data/ins_50_5_00.txt;17;60;0.85;0.2;300;2729;2724;0.18;0.5618;33;16-30-40-37-49-45-38-9-23-35-39-11-17-5-25-31-48-12-7-4-43-21-42-3-1-33-41-20-24-26-44-32-27-28-8-13-14-46-0-10-15-19-6-29-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;18;60;0.85;0.2;300;2729;2724;0.18;0.5512;8;40-45-39-21-35-48-31-3-7-11-30-12-5-23-33-41-24-26-42-16-9-25-4-43-17-49-20-37-1-38-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;19;60;0.85;0.2;300;2729;2724;0.18;0.5655;14;30-16-5-25-23-39-37-17-40-45-31-11-9-35-48-12-49-7-4-43-21-42-3-1-33-26-41-20-24-44-15-27-28-38-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;20;60;0.85;0.2;300;2729;2724;0.18;0.5569;15;40-17-37-11-5-23-39-38-30-16-45-9-35-25-31-48-12-7-4-43-49-21-42-3-1-33-41-24-26-44-15-27-28-20-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;21;60;0.85;0.2;300;2724;2724;0.00;0.7377;106;30-2-23-49-38-37-39-16-9-17-5-25-11-31-7-4-40-43-45-21-42-3-1-33-41-20-24-12-26-44-15-27-28-8-48-13-14-46-0-10-32-6-29-19-47-22-34-18-36-35
AG;50x5;data/ins_50_5_00.txt;22;60;0.85;0.2;300;2729;2724;0.18;0.5574;89;30-38-37-16-39-40-11-17-35-25-31-45-9-24-43-44-12-49-48-23-5-7-21-42-3-1-33-41-20-4-26-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;23;60;0.85;0.2;300;2729;2724;0.18;0.5600;17;9-25-35-23-49-38-37-45-16-30-40-11-17-39-5-31-48-12-7-4-43-21-42-3-1-27-33-41-20-24-26-44-15-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;24;60;0.85;0.2;300;2729;2724;0.18;0.5824;11;16-38-9-35-39-23-30-40-11-17-5-25-12-4-43-21-42-3-1-33-41-31-24-26-49-44-7-20-47-45-48-37-15-27-28-8-13-14-46-0-10-32-6-29-19-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;25;60;0.85;0.2;300;2729;2724;0.18;0.5570;10;30-39-45-40-11-5-31-16-49-35-38-48-23-17-25-7-4-43-42-3-1-33-41-20-24-26-44-15-27-21-9-12-37-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;26;60;0.85;0.2;300;2729;2724;0.18;0.5580;12;40-23-49-35-38-6-39-45-16-30-11-17-5-25-31-48-12-7-4-43-21-42-3-26-1-33-41-20-24-44-15-27-28-8-13-14-46-0-10-32-9-29-19-47-22-34-37-18-36-2
AG;50x5;data/ins_50_5_00.txt;27;60;0.85;0.2;300;2724;2724;0.00;0.5496;16;30-40-23-16-2-48-7-38-5-25-9-21-42-3-1-33-41-20-24-26-44-15-27-37-17-45-12-43-11-49-39-31-28-6-8-13-29-46-0-10-32-4-14-19-47-22-34-18-36-35
AG;50x5;data/ins_50_5_00.txt;28;60;0.85;0.2;300;2729;2724;0.18;0.5691;15;40-26-9-5-16-17-31-37-23-45-39-11-25-30-4-35-44-48-12-7-43-21-42-3-1-33-41-20-15-24-38-27-28-8-13-14-49-46-0-10-32-6-29-19-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;29;60;0.85;0.2;300;2729;2724;0.18;0.5621;94;40-45-30-39-11-17-5-25-9-31-38-12-16-35-7-4-43-44-21-42-3-1-33-41-20-24-26-48-15-27-28-8-13-14-46-23-49-37-0-10-32-6-19-29-47-22-34-18-36-2
AG;50x5;data/ins_50_5_00.txt;30;60;0.85;0.2;300;2729;2724;0.18;0.5508;3;40-35-30-38-49-9-45-39-11-23-37-17-5-25-31-48-12-7-4-43-21-42-16-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
Memetico;50x5;data/ins_50_5_00.txt;1;60;0.85;0.2;300;2729;2724;0.18;0.9262;1;9-49-35-23-38-37-39-45-16-30-40-11-17-5-25-31-48-12-7-4-43-21-42-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
Memetico;50x5;data/ins_50_5_00.txt;2;60;0.85;0.2;300;2724;2724;0.00;0.9595;4;30-40-38-10-20-27-45-5-26-25-29-24-31-28-16-13-48-41-8-44-7-2-1-9-46-33-49-14-37-17-42-3-32-6-23-12-47-0-21-19-4-39-34-18-43-11-15-22-36-35
Memetico;50x5;data/ins_50_5_00.txt;3;60;0.85;0.2;300;2724;2724;0.00;0.9785;4;30-40-17-3-4-27-44-1-25-28-12-33-41-7-31-38-26-6-0-10-29-36-2-11-37-9-49-23-15-16-42-39-24-20-45-43-8-32-22-47-48-19-46-5-21-13-14-34-18-35
Memetico;50x5;data/ins_50_5_00.txt;4;60;0.85;0.2;300;2729;2724;0.18;1.0056;1;9-49-35-23-38-37-39-45-16-30-40-11-17-5-25-31-48-12-7-4-43-21-42-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
Memetico;50x5;data/ins_50_5_00.txt;5;60;0.85;0.2;300;2724;2724;0.00;0.9657;2;30-25-16-41-33-3-0-49-39-10-46-37-13-1-8-40-21-28-2-6-38-23-15-48-22-27-31-29-12-42-9-32-44-45-43-11-47-7-4-24-36-5-26-17-20-14-19-34-18-35
Memetico;50x5;data/ins_50_5_00.txt;6;60;0.85;0.2;300;2729;2724;0.18;0.9675;1;9-49-35-23-38-37-39-45-16-30-40-11-17-5-25-31-48-12-7-4-43-21-42-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
Memetico;50x5;data/ins_50_5_00.txt;7;60;0.85;0.2;300;2729;2724;0.18;1.0804;1;9-49-35-23-38-37-39-45-16-30-40-11-17-5-25-31-48-12-7-4-43-21-42-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
Memetico;50x5;data/ins_50_5_00.txt;8;60;0.85;0.2;300;2724;2724;0.00;0.9091;2;30-49-17-4-21-42-3-31-2-25-9-45-16-40-12-5-33-23-1-39-38-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-7-48-43-37-11-36-35
Memetico;50x5;data/ins_50_5_00.txt;9;60;0.85;0.2;300;2729;2724;0.18;0.8923;1;9-49-35-23-38-37-39-45-16-30-40-11-17-5-25-31-48-12-7-4-43-21-42-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
Memetico;50x5;data/ins_50_5_00.txt;10;60;0.85;0.2;300;2729;2724;0.18;0.9936;1;9-49-35-23-38-37-39-45-16-30-40-11-17-5-25-31-48-12-7-4-43-21-42-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
Memetico;50x5;data/ins_50_5_00.txt;11;60;0.85;0.2;300;2729;2724;0.18;1.1049;1;9-49-35-23-38-37-39-45-16-30-40-11-17-5-25-31-48-12-7-4-43-21-42-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
Memetico;50x5;data/ins_50_5_00.txt;12;60;0.85;0.2;300;2729;2724;0.18;0.9776;1;9-49-35-23-38-37-39-45-16-30-40-11-17-5-25-31-48-12-7-4-43-21-42-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
Memetico;50x5;data/ins_50_5_00.txt;13;60;0.85;0.2;300;2729;2724;0.18;0.9751;1;9-49-35-23-38-37-39-45-16-30-40-11-17-5-25-31-48-12-7-4-43-21-42-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
Memetico;50x5;data/ins_50_5_00.txt;14;60;0.85;0.2;300;2729;2724;0.18;1.0755;1;9-49-35-23-38-37-39-45-16-30-40-11-17-5-25-31-48-12-7-4-43-21-42-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-6-29-19-47-22-34-18-36-2
Memetico;50x5;data/ins_50_5_00.txt;15;60;0.85;0.2;300;2724;2724;0.00;1.0016;2;30-9-16-39-38-49-23-40-11-17-5-25-31-48-12-7-4-43-21-22-3-1-33-41-20-24-26-44-15-27-28-8-13-14-46-0-10-32-42-47-34-6-37-45-29-18-2-19-36-35
Memetico;50x5;data/ins_50_5_00.txt;16;60;0.85;0.2;300;2724;2724;0.00;0.9795;2;30-16-39-38-34-40-17-5-25-31-12-7-4-21-3-1-33-41-20-24-26-44-28-8-13-14-42-6-27-37-23-0-10-32-29-19-47-22-36-2-9-45-49-48-43-46-15-11-18-35
