Algoritmo;Instancia;Semilla;Poblacion;Prob_Cruce;Prob_Mutacion;Iteraciones;Makespan;Upper_Bound;RPD_%;Tiempo_Seg;Mejor_Secuencia
Memético;data/ins_20_5_00.txt;1;100;0.85;0.2;100;1305;1278;2.11;0.4345;7-5-8-15-3-16-14-0-4-17-18-11-10-2-12-1-13-9-6-19
Memético;data/ins_20_5_00.txt;7;100;0.85;0.2;100;1297;1278;1.49;0.3934;5-8-7-14-12-15-4-13-0-2-6-10-18-16-17-11-3-1-9-19
Memético;data/ins_20_5_00.txt;42;100;0.85;0.2;100;1297;1278;1.49;0.4019;14-5-3-13-8-10-4-17-6-16-18-0-11-1-12-15-7-2-9-19
Memético;data/ins_20_5_00.txt;123;100;0.85;0.2;100;1297;1278;1.49;0.3997;14-5-8-12-6-7-16-13-10-17-15-2-3-4-18-0-1-9-11-19
Memético;data/ins_20_5_00.txt;999;100;0.85;0.2;100;1302;1278;1.88;0.4074;16-5-13-10-1-12-18-7-4-0-8-14-3-15-17-11-9-2-6-19
Memético;data/ins_20_5_00.txt;1;100;0.85;0.2;250;1305;1278;2.11;0.9919;7-5-8-15-3-16-14-0-4-17-18-11-10-2-12-1-13-9-6-19
Memético;data/ins_20_5_00.txt;7;100;0.85;0.2;250;1297;1278;1.49;0.9874;5-8-7-14-12-15-4-13-0-2-6-10-18-16-17-11-3-1-9-19
Memético;data/ins_20_5_00.txt;42;100;0.85;0.2;250;1297;1278;1.49;0.9974;14-5-3-13-8-10-4-17-6-16-18-0-11-1-12-15-7-2-9-19
Memético;data/ins_20_5_00.txt;123;100;0.85;0.2;250;1297;1278;1.49;0.9925;14-5-8-12-6-7-16-13-10-17-15-2-3-4-18-0-1-9-11-19
Memético;data/ins_20_5_00.txt;999;100;0.85;0.2;250;1302;1278;1.88;0.9890;16-5-13-10-1-12-18-7-4-0-8-14-3-15-17-11-9-2-6-19
Memético;data/ins_20_5_00.txt;1;100;0.85;0.2;500;1305;1278;2.11;1.9885;7-5-8-15-3-16-14-0-4-17-18-11-10-2-12-1-13-9-6-19
Memético;data/ins_20_5_00.txt;7;100;0.85;0.2;500;1297;1278;1.49;1.9524;5-8-7-14-12-15-4-13-0-2-6-10-18-16-17-11-3-1-9-19
Memético;data/ins_20_5_00.txt;42;100;0.85;0.2;500;1297;1278;1.49;1.9717;14-5-3-13-8-10-4-17-6-16-18-0-11-1-12-15-7-2-9-19
Memético;data/ins_20_5_00.txt;123;100;0.85;0.2;500;1297;1278;1.49;1.9855;14-5-8-12-6-7-16-13-10-17-15-2-3-4-18-0-1-9-11-19
Memético;data/ins_20_5_00.txt;999;100;0.85;0.2;500;1297;1278;1.49;1.9601;8-14-13-5-18-7-4-0-3-16-17-15-11-2-6-10-1-12-9-19
Memético;data/ins_20_5_00.txt;1;100;0.85;0.2;1000;1297;1278;1.49;3.9459;14-5-15-7-8-16-6-0-4-17-18-11-10-2-12-3-1-13-9-19
Memético;data/ins_20_5_00.txt;7;100;0.85;0.2;1000;1297;1278;1.49;3.9288;5-8-7-14-12-15-4-13-0-2-6-10-18-16-17-11-3-1-9-19
Memético;data/ins_20_5_00.txt;42;100;0.85;0.2;1000;1297;1278;1.49;3.9492;14-5-3-13-8-10-4-17-6-16-18-0-11-1-12-15-7-2-9-19
Memético;data/ins_20_5_00.txt;123;100;0.85;0.2;1000;1297;1278;1.49;3.9281;14-5-8-12-6-7-16-13-10-17-15-2-3-4-18-0-1-9-11-19
Memético;data/ins_20_5_00.txt;999;100;0.85;0.2;1000;1297;1278;1.49;3.9726;8-14-13-5-18-7-4-0-3-16-17-15-11-2-6-10-1-12-9-19
Memético;data/ins_20_5_00.txt;1;100;0.85;0.2;1500;1278;1278;0.00;3.9528;16-8-14-7-5-17-15-0-4-18-6-10-2-12-3-1-13-9-19-11
Memético;data/ins_20_5_00.txt;7;100;0.85;0.2;1500;1297;1278;1.49;5.7857;5-8-7-14-12-15-4-13-0-2-6-10-18-16-17-11-3-1-9-19
