Algoritmo;Tamano_Problema;Semilla;Generacion;Makespan
AG;Mediana (50x10);1;0;3135
AG;Mediana (50x10);1;21;3134
AG;Mediana (50x10);1;177;3129
AG;Mediana (50x10);1;180;3128
AG;Mediana (50x10);2;0;3135
AG;Mediana (50x10);2;87;3134
AG;Mediana (50x10);2;103;3132
AG;Mediana (50x10);2;147;3128
AG;Mediana (50x10);2;148;3127
AG;Mediana (50x10);2;202;3125
AG;Mediana (50x10);2;205;3120
AG;Mediana (50x10);3;0;3135
AG;Mediana (50x10);3;115;3133
AG;Mediana (50x10);3;124;3132
AG;Mediana (50x10);3;126;3128
AG;Mediana (50x10);3;153;3126
AG;Mediana (50x10);4;0;3135
AG;Mediana (50x10);4;84;3133
AG;Mediana (50x10);4;182;3129
AG;Mediana (50x10);4;189;3126
AG;Mediana (50x10);5;0;3135
AG;Mediana (50x10);5;66;3134
AG;Mediana (50x10);5;124;3128
AG;Mediana (50x10);5;156;3124
AG;Mediana (50x10);5;165;3118
AG;Mediana (50x10);5;191;3115
AG;Mediana (50x10);5;192;3105
AG;Mediana (50x10);6;0;3135
AG;Mediana (50x10);6;117;3134
AG;Mediana (50x10);6;282;3128
AG;Mediana (50x10);7;0;3135
AG;Mediana (50x10);7;51;3134
AG;Mediana (50x10);7;74;3128
AG;Mediana (50x10);8;0;3135
AG;Mediana (50x10);8;49;3134
AG;Mediana (50x10);8;137;3128
AG;Mediana (50x10);9;0;3135
AG;Mediana (50x10);9;51;3134
AG;Mediana (50x10);9;68;3127
AG;Mediana (50x10);9;114;3125
AG;Mediana (50x10);9;117;3120
AG;Mediana (50x10);9;144;3119
AG;Mediana (50x10);10;0;3135
AG;Mediana (50x10);10;20;3134
AG;Mediana (50x10);10;100;3128
AG;Mediana (50x10);11;0;3135
AG;Mediana (50x10);11;29;3134
AG;Mediana (50x10);11;94;3128
AG;Mediana (50x10);12;0;3135
AG;Mediana (50x10);12;50;3132
AG;Mediana (50x10);12;59;3127
AG;Mediana (50x10);12;162;3126
AG;Mediana (50x10);12;163;3125
AG;Mediana (50x10);12;168;3123
AG;Mediana (50x10);12;187;3121
AG;Mediana (50x10);12;251;3120
AG;Mediana (50x10);13;0;3135
AG;Mediana (50x10);13;159;3134
AG;Mediana (50x10);13;263;3132
AG;Mediana (50x10);13;267;3128
AG;Mediana (50x10);13;274;3125
AG;Mediana (50x10);13;284;3124
AG;Mediana (50x10);14;0;3135
AG;Mediana (50x10);14;25;3134
AG;Mediana (50x10);14;32;3128
AG;Mediana (50x10);14;35;3126
AG;Mediana (50x10);14;37;3120
AG;Mediana (50x10);14;71;3115
AG;Mediana (50x10);14;75;3113
AG;Mediana (50x10);14;90;3106
AG;Mediana (50x10);14;192;3098
AG;Mediana (50x10);14;205;3096
AG;Mediana (50x10);14;213;3091
AG;Mediana (50x10);15;0;3135
AG;Mediana (50x10);15;41;3134
AG;Mediana (50x10);15;57;3128
AG;Mediana (50x10);16;0;3135
AG;Mediana (50x10);16;35;3134
AG;Mediana (50x10);16;184;3128
AG;Mediana (50x10);17;0;3135
AG;Mediana (50x10);17;39;3134
AG;Mediana (50x10);17;98;3132
AG;Mediana (50x10);17;121;3128
AG;Mediana (50x10);17;122;3120
AG;Mediana (50x10);17;128;3119
AG;Mediana (50x10);18;0;3135
AG;Mediana (50x10);18;76;3134
AG;Mediana (50x10);18;96;3131
