Version;Algoritmo;Instancia;Semilla;Poblacion;Prob_Cruce;Prob_Mutacion;Iteraciones;Paciencia_Renovacion;Frac_Renovacion;Makespan;Upper_Bound;RPD_%;Tiempo_Seg;Generacion_Hallazgo;Activaciones_Renovacion;Gens_Sin_Nuevo_Sobreviviente;Hijos_Totales;Hijos_Repetidos;Pct_Hijos_Repetidos;Mejor_Secuencia;Traza
referencia;AG;data/ins_20_5_00.txt;1;60;0.85;0.2;300;;;1286;1278;0.625978;0.590063;0;0;283;18000;11546;64.14;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11;[[0, 1286]]
variante;AG;data/ins_20_5_00.txt;1;60;0.85;0.2;300;30;0.2;1286;1278;0.625978;0.591171;0;10;267;18120;11359;62.69;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11;[[0, 1286]]
referencia;Memetico;data/ins_20_5_00.txt;1;60;0.85;0.2;300;;;1278;1278;0.000000;0.768595;12;0;251;18000;12123;67.35;16-2-14-7-8-13-15-12-3-18-5-4-17-0-1-6-10-9-19-11;[[0, 1286], [3, 1282], [12, 1278]]
variante;Memetico;data/ins_20_5_00.txt;1;60;0.85;0.2;300;30;0.2;1278;1278;0.000000;0.909118;12;9;222;18108;11976;66.14;16-2-14-7-8-13-15-12-3-18-5-4-17-0-1-6-10-9-19-11;[[0, 1286], [3, 1282], [12, 1278]]
variante;AG;data/ins_20_5_00.txt;2;60;0.85;0.2;300;30;0.2;1286;1278;0.625978;0.591211;0;10;233;18120;11165;61.62;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11;[[0, 1286]]
referencia;AG;data/ins_20_5_00.txt;2;60;0.85;0.2;300;;;1286;1278;0.625978;0.585891;0;0;253;18000;11397;63.32;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11;[[0, 1286]]
variante;Memetico;data/ins_20_5_00.txt;2;60;0.85;0.2;300;30;0.2;1278;1278;0.000000;1.065150;83;9;186;18108;9526;52.61;8-14-5-2-6-10-13-18-7-16-3-4-17-12-15-0-1-9-19-11;[[0, 1286], [4, 1282], [72, 1279], [83, 1278]]
referencia;Memetico;data/ins_20_5_00.txt;2;60;0.85;0.2;300;;;1278;1278;0.000000;0.889253;105;0;231;18000;9377;52.09;8-14-5-2-6-10-12-7-16-4-3-18-13-17-15-0-1-9-19-11;[[0, 1286], [4, 1282], [105, 1278]]
referencia;AG;data/ins_20_5_00.txt;3;60;0.85;0.2;300;;;1286;1278;0.625978;0.590431;0;0;264;18000;12301;68.34;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11;[[0, 1286]]
variante;AG;data/ins_20_5_00.txt;3;60;0.85;0.2;300;30;0.2;1286;1278;0.625978;0.593209;0;10;246;18120;12210;67.38;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11;[[0, 1286]]
referencia;Memetico;data/ins_20_5_00.txt;3;60;0.85;0.2;300;;;1278;1278;0.000000;0.752054;4;0;270;18000;10096;56.09;8-14-13-10-12-16-2-5-3-4-0-1-6-7-18-17-15-9-19-11;[[0, 1286], [4, 1278]]
variante;Memetico;data/ins_20_5_00.txt;3;60;0.85;0.2;300;30;0.2;1278;1278;0.000000;0.890434;4;9;248;18108;9892;54.63;8-14-13-10-12-16-2-5-3-4-0-1-6-7-18-17-15-9-19-11;[[0, 1286], [4, 1278]]
